,Unnamed: 0,id,story,post,label
18,67,'553476490315431937',charliehebdo,Police convoy and helicopters are rushing to scene to detain Charlie Hebdo massacre suspects http://t.co/XdUgohNDhv http://t.co/MSROYqs14o,TRUE
19,69,'553461741917863936',charliehebdo,Rural region of northern France searched in hunt for #CharlieHebdo gunmen - latest updates http://t.co/7iVIN3nqCv http://t.co/YrdUIOjrZF,FALSE
20,70,'552816020403269632',charliehebdo,"Looks like every Charlie Hebdo cartoonist has been killed: 1. Charb - was on Al-Qaeda's hit list; 2. Cabu, 3. Wolinski, 4. Tignous",FALSE
21,71,'553575232867672064',charliehebdo,MORE: Official: gunman holding at least five hostages in Paris market has threatened to kill them if police approach: http://t.co/KId3U6zhCK,FALSE
22,73,'553548567420628992',charliehebdo,"AFP reports there are 2 dead, and 5 hostages being held in the Kosher store in Eastern Paris; separate incident to charlie hebdo shooters.",FALSE
23,74,'552982613288157184',charliehebdo,Banksy says #JeSuisCharlie in a beautiful way (vi @lukeeve) http://t.co/GKFP5xVAoc,FALSE
24,76,'552783667052167168',charliehebdo,"France: 10 people dead after shooting at HQ of satirical weekly newspaper #CharlieHebdo, according to witnesses http://t.co/FkYxGmuS58",TRUE
25,78,'552802654641225728',charliehebdo,Charlie Hebdo shooting latest: 12 dead and gunmen still at large http://t.co/6jRqXgPogM http://t.co/hO7lvftma5,TRUE
26,79,'553566026030272512',charliehebdo,"Breaking: Two hostage situations in France are linked, Paris prosecutor says",TRUE
27,80,'552834961762709505',charliehebdo,Paris Manhunt: 3 #CharlieHebdo attackers with AK-47 rifles &amp; reportedly rocket-propelled grenade still at large http://t.co/3Jsosc7yl3,TRUE
28,82,'552791578893619200',charliehebdo,Eleven dead in shooting at Paris offices of satirical magazine Charlie Hebdo – live updates http://t.co/gOtSqbwROc,TRUE
29,83,'553221600955621376',charliehebdo,"Clarissa, 27 years old, police trainee of Montrouge Police in #France. Victim of this morning's attack. via @_batou_ http://t.co/kk0w0D6NNv",TRUE
30,84,'553212962044149761',charliehebdo,"Paris says highest alert level extended north to region where attack suspects spotted - @AFP, @MelissaBellF24 https://t.co/pj8kecnVt7",FALSE
31,85,'553467311261503488',charliehebdo,Reports of shooting at  Dammartin en Goele on route N2 north east of Paris - French media says car chase under way,FALSE
32,89,'553518472798683136',charliehebdo,MORE: Official: French terror suspects want to be martyrs; are holed up with hostage north of Paris: http://t.co/sJXudtGUOV,FALSE
33,91,'553512735192141826',charliehebdo,Update - AFP: an unnamed police source says the killing of the policewoman in #Paris on Thursday is linked to the #CharlieHebdo attack,TRUE
34,93,'552978184413921281',charliehebdo,#Banksy's take on #CharlieHebdo. #JeSuisCharlie #NousSommesCharlie http://t.co/f6Y07d9fJ1,FALSE
35,94,'553506608203169792',charliehebdo,"Map shows industrial estate where 2 #CharlieHebdo suspects are holed up, surrounded by police http://t.co/hi9g8dxpiR http://t.co/Vw2L6SQcMH",TRUE
36,95,'553550301886955520',charliehebdo,"BREAKING: One person seriously wounded, six taken hostage in incident at kosher supermarket in Paris: police source",FALSE
37,96,'553152395371630592',charliehebdo,This widely shared cartoon about the #CharlieHebdo attack is actually by @LucilleClerc and not #Banksy http://t.co/HxKI8pefcU,FALSE
38,97,'553579224402235393',charliehebdo,"Hostage-taker at Paris store demands release of #KouachiBrothers, police union spokesman says. http://t.co/cTAJWVBmAO http://t.co/rYEGVIPAlU",FALSE
39,98,'552814494381256704',charliehebdo,UPDATE: #CharlieHebdo's editor-in-chief was killed in attack - Magazine's lawyer http://t.co/kLKwMSlo7g,FALSE
40,104,'553544694765215745',charliehebdo,French police publishes photos of suspect in yesterday's Montrouge shooting. Maybe the same persons in Kosher market http://t.co/j5nQIl4Ytu,TRUE
41,106,'553107921081749504',charliehebdo,"Two shot in Paris, including traffic cop, as manhunt continues for #CharlieHebdo suspects http://t.co/L7wpNhAYZn http://t.co/oQi2UinDH1",TRUE
42,107,'553558982476828674',charliehebdo,"On Israeli TV, an Israeli woman speaks of her nephew,a mother with 6 month old baby, held hostage in the supermarket in Paris. #JeSuisJuif",TRUE
43,114,'553586860334010368',charliehebdo,#CharlieHebdo killers shot dead by police,TRUE
44,115,'553184482241814530',charliehebdo,"I am still confused as to why these ""highly trained"" individuals left their ID in the getaway car. #CharlieHebdo",FALSE
45,116,'553508098825261056',charliehebdo,Police have surrounded this building where the suspected #CharlieHebdo attackers are holed-up http://t.co/B0TRvE2iYs http://t.co/becxNG0Kxi,TRUE
46,117,'553549686129561600',charliehebdo,UPDATE: Gunman in kosher grocery store is demanding the release of the suspects in #CharlieHebdo shooting - Reports http://t.co/1Y123fisl2,FALSE
47,119,'553160652567498752',charliehebdo,French police: Said Kouachi and Cherif Kouachi wanted in Paris terror attack: http://t.co/0WbSnKIrgE http://t.co/wjmMg9LveB,TRUE
48,121,'552791196247269378',charliehebdo,"BREAKING: At least 10 killed in shooting at French satirical newspaper Charlie Hebdo, Paris prosecutor's office says. http://t.co/mnAeA7j7fY",TRUE
49,123,'552832817089236992',charliehebdo,Stills from eyewitness video show two #CharlieHebdo attackers wearing hoods &amp; black clothing shoot a wounded man http://t.co/IX8Wys3p5M,TRUE
50,126,'552810448324943872',charliehebdo,"#CHARLIEHEBDO SHOOTING: Gunmen shouted 'we have avenged the prophet"" during attack - reports http://t.co/3Jsosc7yl3 http://t.co/nAerF1Ep7A",FALSE
51,127,'553476880339599360',charliehebdo,"DEVELOPING: Police pursuing #CharlieHebdo shooting suspects, helicopters deployed - LIVE FEED: http://t.co/GRxHibEau2 http://t.co/pDlmmCax1B",TRUE
52,129,'552984502063337472',charliehebdo,#UPDATE Three men including two brothers identified in France newspaper attack: source http://t.co/5NoNuqJSu1 #JeSuisCharlie #CharlieHebdo,TRUE
53,133,'553576010898497536',charliehebdo,Breaking: Gunman at Paris store threatens to kill hostages if #CharlieHebdo suspects are harmed. http://t.co/YPIlwckuuw,FALSE
54,137,'552806757672964097',charliehebdo,"UPDATE: 12 now confirmed dead in #CharlieHebdo attack in Paris, @AP is reporting. Story: http://t.co/Jfqmha1GdV (AP) http://t.co/vDCIFHIa9U",TRUE
55,144,'552792544132997121',charliehebdo,BREAKING Charlie Hebdo latest: 11 dead 10 wounded (five critical) two gunmen unaccounted for http://t.co/kjW3uwCV0f http://t.co/9K8ICs97Be,TRUE
56,146,'553544252563935234',charliehebdo,BREAKING: At least 2 killed in #Paris hostage situation via @AFP http://t.co/C2WrcWLUZh,FALSE
57,147,'553489393202499584',charliehebdo,"Paris Murder Suspects Cornered with Hostage
http://t.co/yzHJi4Hw54",FALSE
58,148,'553164985460068352',charliehebdo,The #CharlieHebdo attack suspects have reportedly fired shots while robbing a petrol station http://t.co/joSfDCybpI http://t.co/7xQIrb4vbU,FALSE
59,149,'552792802309181440',charliehebdo,#CharlieHebdo -  11 dead including 2 police in Paris shooting. Photo @MartinBureau1 #AFP http://t.co/aksGP63MB7,TRUE
60,153,'553470492565602305',charliehebdo,Car chase under way in Paris as gunfight breaks out. Reports of hostages. Latest from Paris: http://t.co/2J4WQdJnTp http://t.co/Lpd4hbiXai,FALSE
61,154,'553535829017370625',charliehebdo,#BREAKING - At least five hostages in Paris kosher supermarket: (AFP) https://t.co/4yt6nafpIg #Vincennes http://t.co/Vnyhqye2ps,TRUE
62,155,'553587013409325058',charliehebdo,#BREAKING Charlie Hebdo gunmen's hostage freed and safe after police assault,TRUE
63,157,'553478289474740224',charliehebdo,"#BREAKING : 1 dead, several injured in shootout North-East of Paris (French radio @RTLFrance ) http://t.co/LdSF5QeCiv #CharlieHebdo",FALSE
64,158,'553538058440941568',charliehebdo,"MORE: France: Shooting, hostage-taking at kosher market in Paris; several reported wounded: http://t.co/5300zReVuq",FALSE
65,162,'553503184174710784',charliehebdo,#CharlieHebdo shooting suspects tell police they 'prepared to die as martyrs' - French media http://t.co/G6eunBDIrj http://t.co/jOnfaapehF,FALSE
66,163,'552793679082311680',charliehebdo,"11 confirmed dead, Francois Hollande to visit scene of attack - latest from Paris: http://t.co/7N7uvClhWY http://t.co/EgmxARAdEP",TRUE
67,165,'553543369604210689',charliehebdo,"An 11-month old baby is among the hostages at the Kosher supermarket in Paris. Unbearably sad.
http://t.co/yXXlHehst9",TRUE
68,169,'553531413459660800',charliehebdo,Update - AFP says gunman who has taken a hostage at kosher supermarket in Paris believed to be suspect in killing of policewoman on Thursday,TRUE
69,170,'552833028201144320',charliehebdo,URGENT: 3 gunmen involved in deadly attack on #CharlieHebdo - French interior minister http://t.co/3Jsosc7yl3 #Paris http://t.co/9fqT2P6yhV,FALSE
70,171,'553589051044151296',charliehebdo,Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/9AwTF3sRYK,TRUE
71,172,'553587303172833280',charliehebdo,Police taking people out of #Paris grocery where hostages were being held. http://t.co/7Bxdhozq4H,TRUE
72,174,'553197863971610624',charliehebdo,The last person killed in Charlie Hebdo attacks was Muslim police officer http://t.co/qQXNLUDYPG http://t.co/PJH6tlyrpC,FALSE
73,175,'553590459688570880',charliehebdo,Several hostages freed at Jewish supermarket in Paris. Photo Thomas Samson #AFP http://t.co/C9ltgMT0Wl,TRUE
74,176,'552788945017516032',charliehebdo,"Appalled by the attack on Charlie Hebdo in Paris, 10 - probably journalists - now confirmed dead. An attack on free speech everywhere.",FALSE
75,177,'553480082996879360',charliehebdo,Reports of fatality and injuries following shootout ahead of Dammartin-en-Goele hunt - live coverage: http://t.co/JM4ot03Ge5 #CharlieHebdo,FALSE
76,178,'553553288625672192',charliehebdo,#BREAKING Paris hostage-taker 'knows' one Charlie Hebdo killer: source,FALSE
77,179,'553561170637238272',charliehebdo,BREAKING: Police order all shops closed in famed Jewish neighborhood in central Paris far from attacks.,FALSE
78,124,'521360486387175424',ebola-essien,AC Milan midfielder Michael Essien has been diagnosed with Ebola. Get well soon Michael. [Daily Times] http://t.co/r6y8d9HMAw,FALSE
79,125,'521346721226711040',ebola-essien,Unconfirmed reports claim that Michael Essien has contracted Ebola. http://t.co/VASQrZdLhH,FALSE
80,0,'580325090367315968',germanwings-crash,"Flight #4U9525 initially climbed to 38,000 feet before before it started to descend and lost signal at 6,800 feet. http://t.co/MthXQ232Hn",FALSE
81,1,'580348081100734464',germanwings-crash,"#Germanwings ""sorry to confirm"" 144 passengers &amp; 6 crew on board flight #4U9525 when it crashed in French Alps http://t.co/inQlKOqZup",TRUE
82,2,'580324027715063808',germanwings-crash,"JUST IN: Germanwings plane crashes in southern France, up to 150 feared dead http://t.co/GIZjXnqBU3",TRUE
83,3,'580319184652890113',germanwings-crash,BREAKING: 148 passengers were on board #GermanWings Airbus A320 which has crashed in the southern French Alps http://t.co/VxxvrU9XmV,FALSE
84,4,'580333909008871424',germanwings-crash,French junior minister for Transport Alain Vidalies confirms they are no survivors in the #Germanwings #A320 crash. http://t.co/ZLIz1oY8wF,TRUE
85,5,'580321156508577792',germanwings-crash,Now hearing 148 passengers + crew on board the #A320 that has crashed in southern French Alps. #GermanWings flight. @BBCWorld,FALSE
86,6,'580320684305416192',germanwings-crash,"Accident aircraft looks to be Germanwings (Airline code 4U or GWI) flight 9525, Barcelona to Dusseldorf. #4U9525 http://t.co/TIZc1N1ZrK",FALSE
87,7,'580333763512705025',germanwings-crash,"#Germanwings latest: http://t.co/8tZopIBYLh
- #Airbus A320 crashes in French Alps
- Barcelona-to-Dusseldorf flight
- 142 passengers &amp; 6 crew",FALSE
88,8,'580340476949086208',germanwings-crash,BREAKING: 148 feared dead in crashed #Germanwings flight http://t.co/bnEGQsxBFL,FALSE
89,9,'580339825649291264',germanwings-crash,#Germanwings passenger plane crashes in French Alps with 148 onboard http://t.co/JCDZtv8We0 http://t.co/yE0hUNdiTr,FALSE
90,10,'580360165540642816',germanwings-crash,"@FRANCE24 reporter James André at French Civil Aviation Authority HQ: ""#Germanwings plane did NOT report distress signal"", no mayday.",FALSE
91,11,'580322453928431617',germanwings-crash,German Wings airline tweeting now about reports of plane crashing in French Alps with 148 on board: @germanwings http://t.co/SqUrmcvNKt,FALSE
92,12,'580882341880446977',germanwings-crash,Report: Co-Pilot Locked Out Of Cockpit Before Fatal Plane Crash http://t.co/aXGQuacv2E #Germanwings http://t.co/T80L7BhXX6,TRUE
93,13,'580326222107951104',germanwings-crash,"Heart goes out to 148 passengers and crew of Germanwings Airbus A320 that has crashed in French Alps, Southern France http://t.co/K7fmJLRt4G",FALSE
94,14,'581473088249958400',germanwings-crash,GERMAN NEWS REPORT: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/Pw2kxje31m via @gatewaypundit,FALSE
95,15,'580371845997682688',germanwings-crash,"#4U9525 took eight minutes to descend from 38,000 feet to impact, says Germanwings CEO Winkelmann.",TRUE
96,16,'580331561398108160',germanwings-crash,"1047 call: DGAC source says pilots called «urgence, urgence» (“emergency, emergency”), as opposed to a mayday call or 7700 squawk. #4U9525",FALSE
97,17,'581047170637381632',germanwings-crash,Names of pilots rumored to be Patrick Sonderheimer with co-pilot Andreas Lubitz - No formal confirmation yet. #germanwings,TRUE
98,18,'581293286268129280',germanwings-crash,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT. Can any muslim be trusted near an airplane now?,FALSE
99,19,'580332109782466561',germanwings-crash,#4U9525 From FL380 to FL110 in 8 min? That's average rate of descent 3375 fpm! Than levelled off at FL068? What the hell was going on there?,TRUE
100,20,'580319078155468800',germanwings-crash,Germanwings Airbus A320 crashes in French Alps near Digne http://t.co/yNlWbNJmYI,TRUE
101,21,'580339547269144576',germanwings-crash,"Latest on #Germanwings crash: Pilots signaled 911 before dropping out of midair; airline CEO calls this a ""dark day."" http://t.co/S5CZoWnn2T",FALSE
102,22,'581386094337474560',germanwings-crash,RT @khjelmgaard: German media reporting #AndreasLubitz had a 'serious depressive episode' six years ago http://t.co/MUdmHPz2ro #Germanwings,FALSE
103,23,'581063377226637312',germanwings-crash,#4U9525: Robin names Andreas Lubitz as the copilot in the flight deck who crashed the aircraft.,TRUE
104,24,'580323060533764097',germanwings-crash,Germanwings passenger plane crashes in France: http://t.co/BSJhGgMChG,TRUE
105,25,'580352273001410560',germanwings-crash,NEWS: 'Emergency Emergency' was the final distress call that was sent from the cockpit of flight #4U9525  - @PollyR_Aviation,FALSE
106,26,'581153923987206146',germanwings-crash,"Germanwings co-pilot battled depression in '09, friends say. http://t.co/srhDPf4Zn5 http://t.co/I3Zd1RyNud",FALSE
107,27,'581290271997968384',germanwings-crash,GERMAN NEWS: Co-Pilot of Germanwings Airbus Was MUSLIM CONVERT …’Hero of Islamic State’? http://t.co/J8budBthpm via @gatewaypundit,TRUE
108,28,'581359544682614784',germanwings-crash,Germanwings co-pilot had serious depressive episode: Bild newspaper http://t.co/RgSTrehD21,FALSE
109,28,'524956129017995264',ottawashooting,"Police say shots fired at 3 #Ottawa sites -  National War Memorial, Parliament Hill, and now Rideau shopping centre http://t.co/rOnqpUbuqc",FALSE
110,33,'524925987239120897',ottawashooting,Soldier shot at National War Memorial in Ottawa http://t.co/Sgmcq7gUzf #cdnpoli #hw,TRUE
111,37,'524975705206304769',ottawashooting,#NHL cancels tonight's game between #Ottawa and #Toronto due to today's shootings. Senators were to host Maple Leafs.,TRUE
112,42,'524923462398513152',ottawashooting,Shots fired on parliament hill after a man walked up with a gun. I'm locked in a security office on parliament hill,TRUE
113,43,'524952883343925249',ottawashooting,Watch video showing gunfire inside Canada's parliament in Ottawa http://t.co/CJpXNAk8nS http://t.co/hxwr2NEr2K,TRUE
114,44,'524925050739490816',ottawashooting,BREAKING NEWS: Soldier shot at National War Memorial in Ottawa http://t.co/pp6hcfWcRw,TRUE
115,48,'524937542131793920',ottawashooting,We are in full lock down until further notice from Ottawa Police.,FALSE
116,51,'524926235030589440',ottawashooting,BREAKING NEWS: At least 3 shots fired at Ottawa War Memorial. One soldier confirmed shot - http://t.co/wiPaKVPSDb http://t.co/vwxeqj8xe9,TRUE
117,52,'524990163446140928',ottawashooting,"Police have clarified that there were two shootings in Ottawa today, not three: at the War Memorial and Parliament Hill.",FALSE
118,53,'524991576163250176',ottawashooting,MORE: Police believe three gunmen were involved in shootings in Ottawa this morning and are looking for two shooters. http://t.co/IHV4galEtC,FALSE
119,54,'524924619812511746',ottawashooting,Witness tells #CBCNews suspected shooter of uniformed soldier at #Ottawa's War Memorial was carrying rifle.,TRUE
120,57,'524993533212897281',ottawashooting,"FBI assisting in the case of the Ottawa shooting, sources have confirmed to CTV News",TRUE
121,60,'525019752507658240',ottawashooting,"#ISIS Media account posts picture claiming to be Michael Zehaf-Bibeau, dead #OttawaShooting suspect. #Canada http://t.co/kWam0E4tyX",TRUE
122,63,'524931324763992064',ottawashooting,Very reliable source on Parliament Hill tells me the assailant has been killed. #cdnpoli #ottnews,TRUE
123,64,'524923676484177920',ottawashooting,BREAKING - Shooting on Parliament Hill. RCMP have weapons drawn #cdnpoli http://t.co/38qOgXcuet,TRUE
124,66,'524959809402331137',ottawashooting,Senior U.S. official: Canadian government has informed U.S. that one shooter is dead in Ottawa. Live blog: http://t.co/q98AMohu7T,TRUE
125,68,'525060425184858112',ottawashooting,"The Canadian soldier killed in today's Ottawa shooting is Cpl. Nathan Cirillo, a family source told CNN. Live blog: http://t.co/D58rrFrbwq",TRUE
126,72,'524927281048080385',ottawashooting,Snipers set up on National Art Gallery as we remain barricaded in Centre Block on Parliament Hill #cdnpoli. http://t.co/lWKaxLI9jO,TRUE
127,75,'525032872647065600',ottawashooting,"BREAKING: Michael Zehaf-Bebeau had been designated ""high-risk traveller"" by CDN govt, which confiscated his passport http://t.co/dPeMQ78jzm",FALSE
128,77,'525003468659228672',ottawashooting,These are not timid colours; soldiers back guarding Tomb of Unknown Soldier after today's shooting #StandforCanada http://t.co/7KoW2xATKG,FALSE
129,86,'525025279803424768',ottawashooting,The soldier shot dead in Wednesday's Ottawa attacks has been named as Cpl. Nathan Cirillo of #HamOnt #ottawashooting http://t.co/MxLMptnlWw,TRUE
130,87,'524995771587108864',ottawashooting,This afternoon we've lowered our flags to half mast in honour of the Canadian Reservist who lost his life in Ottawa. http://t.co/3oTF5sd2Lf,TRUE
131,88,'524965775036387329',ottawashooting,"Hero. @affanchowdhry: Kevin Vickers, head of security in parliament, being credited for taking down shooter #Ottawa http://t.co/rVYetE0KYq""",TRUE
132,92,'524983581983375360',ottawashooting,"Police now say there were two shooting incidents in Ottawa: one at the war memorial, the other on Parliament Hill. http://t.co/q98AMohu7T",FALSE
133,99,'525056576038518785',ottawashooting,Soldier killed in Canada shooting was a young reservist with a six-year-old son http://t.co/83PReIl9XV http://t.co/LVprXOCCF7,TRUE
134,100,'524947867975561216',ottawashooting,"Ottawa Police Service: There were ""numerous gunmen"" at the Canada War Memorial shooting. One person was shot. http://t.co/zNhxK6wBoy",FALSE
135,101,'524966904885428226',ottawashooting,BREAKING UPDATE: Canadian soldier injured at Parliament Hill shooting dies http://t.co/Zp9AKplH9p  #Ottawa,TRUE
136,108,'525068915068923904',ottawashooting,***EXCLUSIVE*** Michael Zahaf-Bibeau caught on a #DASHCAM model sold at http://t.co/62s1bT3ecH #OttawaShooting http://t.co/LpnqAKsHZw,TRUE
137,110,'524925215235911680',ottawashooting,#BREAKING news: Shots fired at Parliament Hill. Follow developing story: http://t.co/gPg9nujRvk http://t.co/H0Hw24j5ma,TRUE
138,111,'524980744658382848',ottawashooting,"#RCMP to hold news conference on #Ottawa shootings at 2 pm ET, 11 am PT. Watch live coverage @ http://t.co/kngapKTSCe",TRUE
139,112,'525028734991343617',ottawashooting,CTV News confirms that Canadian authorities have provided US authorities with the name Michael Zehaf-Bibeau in connection to Ottawa shooting,TRUE
140,113,'524940659778920448',ottawashooting,Attack on Parliament: Soldier shot; gunman on the loose. Follow our developing story: http://t.co/bo99C9HqJE http://t.co/2FXEYtTl8w,FALSE
141,125,'524943490887991296',ottawashooting,"CONFIRMED | 1 shooter shot dead at Parliament Hill, but there is more than 1 suspect. #cbcOTT #OTTnews",TRUE
142,128,'524970851675176960',ottawashooting,Canada's parliament building locked down after shooting; at least one guard injured: http://t.co/Nrsnlg2s04 Photo: AP http://t.co/qPXF4IF6aM,FALSE
143,130,'524932056560963584',ottawashooting,"BREAKING: At least 20 shots have been fired in the Canadian parliament in Ottawa, according to witnesses.",TRUE
144,131,'524941132237910016',ottawashooting,Here's that dramatic video via @josh_wingrove of shots fired inside parliament building: https://t.co/1waid25vOE #Ottawa #shooting,TRUE
145,132,'524969201102901248',ottawashooting,"MPs credit sergeant-at-arms for saving lives in Parliament Hill shootings
http://t.co/3NfiSwTwPt http://t.co/V5tIbCQgj9",TRUE
146,135,'524962142563610625',ottawashooting,"#BREAKING Rick Hughes at CBC Hamilton: 

The soldier who was shot in Ottawa Wednesday morning is a reservist serving in Hamilton",TRUE
147,138,'524947674164760577',ottawashooting,BREAKING NEWS: New York Times is reporting the Canadian soldier who was shot has died from their injuries. Heartbreaking. #cdnpoli #ableg,TRUE
148,139,'524935485370929152',ottawashooting,Shooting in Canadian parliament comes day after ISIS-inspired radical drove in2 Canadian soldier. Also reports of shooting at War memorial/1,TRUE
149,141,'524929497205055488',ottawashooting,"Canada's Parliament Hill is on lockdown as police hunt shooting suspect; at least 1 injured - @CBCNews, @TorontoStar http://t.co/aF9HyT9BgX",FALSE
150,142,'524932935137628160',ottawashooting,The gunman in Ottawa has been shot and killed. I'm at a loss for words this morning. That isn't my Canada.,TRUE
151,143,'524942470472548352',ottawashooting,"The University of Ottawa, just a five minute walk from the Hill, is now on lockdown.",TRUE
152,145,'524964948683005952',ottawashooting,"#Ottawa police confirm to #CBCNews they are still seeking 1 or more suspects after shootings on Parliament Hill, War Memorial, nearby mall.",FALSE
153,151,'524981436252950528',ottawashooting,Canadian authorities have given name of suspect in Ottawa attacks to U.S. feds; ask for FBI assistance: Sr U.S. law enforcement official,TRUE
154,152,'524972443308683264',ottawashooting,Statement from Ottawa Hospital: received 3 patients. 2 in stable condition. http://t.co/zu5hYPrGDL,FALSE
155,156,'525049639016615937',ottawashooting,This is the soldier who died today at the #Ottawa War Memorial. His name is Cpl. Nathan Cirillo. #RIP #OttawaStrong http://t.co/vhPBPq5yYk,TRUE
156,159,'524926472432410625',ottawashooting,"One person shot outside Centre Block, a second wounded inside the building in Parliament Hill shooting http://t.co/zng0g0aelU",TRUE
157,160,'525023025792835585',ottawashooting,"#RIPNathanCirillo

RT @globeandmail: Soldier killed at war memorial identified as Cpl. Nathan Cirillo #OttawaShooting http://t.co/uZZqmlctss",TRUE
158,161,'524936872666353664',ottawashooting,More shots fired just off Parliament Hill. Police telling everyone to take cover.,TRUE
159,164,'524949443607412737',ottawashooting,"Ottawa Police report a third shooting at Rideau Centre, no reports of injuries.",FALSE
160,166,'524947416869388288',ottawashooting,Reports now that 2nd shooter has been shot in downtown Ottawa #ottnews,FALSE
161,167,'524948866773184512',ottawashooting,Ottawa police issued a statement. Three separate shooting incidents. Once inside parliament. One at the war memorial. One at Rideau Centre,FALSE
162,173,'525025463648137216',ottawashooting,BREAKING: A source confirms to CP24 that the deceased soldier in Ottawa is Cpl. Nathan Cirillo. Cirillo was a member of the Hamilton Argylls,TRUE
163,176,'525058976376193024',ottawashooting,Our thoughts and prayers go out to Nathan Cirillo who died today in Ottawa while protecting his country at age 24 http://t.co/PfwasSALPX,TRUE
164,177,'524925730053181440',ottawashooting,"Shooter still on loose after uniformed soldier shot at #Ottawa's War Memorial, across road from Parliament. MP's being taken out of offices.",TRUE
165,178,'524944399890124801',ottawashooting,Recap: Gunman shot dead inside Parliament buildings; police believe there may be others on loose. Cdn soldier shot earlier at War Memorial.,TRUE
166,179,'524922729485848576',ottawashooting,Only photo I will tweet. CPR being performed on the soldier now. I heard four shots. #ottawa http://t.co/cqdw1yx8AI,TRUE
167,180,'524923293711998976',ottawashooting,At the war memorial in. Ottawa. A soldier has been shot. They are giving him treatment now. #breaking http://t.co/cTmlb1LvgG,FALSE
168,181,'524936793633083394',ottawashooting,Very tense situation in Ottawa this morning.  Multiple gun shots fired outside of our caucus room.  I am safe and in lockdown. Unbelievable.,FALSE
169,182,'524941720249978880',ottawashooting,Footage from Globe reporter captures exchange of gun fire in Parliament Hill building https://t.co/FOu4PbNCDq,FALSE
170,183,'524948206023880704',ottawashooting,"The latest @CBCNews on #Ottawa shootings. Gunman killed inside Parliament, soldier shot at War Memorial. http://t.co/kngapKTSCe #cdnpoli",FALSE
171,184,'524961721744900097',ottawashooting,"Canadian soldier who was shot at #Ottawa's War Memorial is a reservist serving with the Argyll and Sutherland Highlanders in #Hamilton, Ont.",FALSE
172,25,'529695367680761856',prince-toronto,OMG. #Prince rumoured to be performing in Toronto today. Exciting!,FALSE
